Make,Model,Accidents,Avg_Fatal_Injuries,Avg_Serious_Injuries,Destruction_Rate,Serious_Fatal_Fraction
CESSNA,180K,13,0.15384615384615385,0.3076923076923077,0.0,0.46153846153846156
CESSNA,182A,33,0.12121212121212122,0.30303030303030304,0.0,0.42424242424242425
CESSNA,182K,14,0.2857142857142857,0.5714285714285714,0.0,0.8571428571428571
CESSNA,182S,14,0.21428571428571427,0.07142857142857142,0.0,0.2857142857142857
CESSNA,195,24,0.0,0.16666666666666666,0.0,0.16666666666666666
PIPER,J5A,10,0.0,0.3,0.0,0.3
CESSNA,195A,10,0.1,0.2,0.0,0.30000000000000004
CESSNA,305,12,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333
CESSNA,305A,16,0.0,0.1875,0.0,0.1875
PIPER,PA-12,52,0.21153846153846154,0.057692307692307696,0.0,0.2692307692307692
CESSNA,A185E,11,0.09090909090909091,0.0,0.0,0.09090909090909091
CESSNA,A188B,32,0.125,0.125,0.0,0.25
PIPER,PA 28-161,15,0.06666666666666667,0.06666666666666667,0.0,0.13333333333333333
PIPER,PA 28,23,0.0,0.17391304347826086,0.0,0.17391304347826086
CESSNA AIRCRAFT CO,162,14,0.07142857142857142,0.14285714285714285,0.0,0.21428571428571427
CONSOLIDATED AERONAUTICS INC.,LAKE LA-4-200,10,0.0,0.2,0.0,0.2
CUBCRAFTERS INC,CC11-160,16,0.0,0.375,0.0,0.375
CESSNA,207A,16,0.125,0.75,0.0,0.875
STINSON,108-1,11,0.09090909090909091,0.18181818181818182,0.0,0.2727272727272727
GRUMMAN ACFT ENG COR-SCHWEIZER,G-164B,24,0.0,0.20833333333333334,0.0,0.20833333333333334
AIR TRACTOR INC,AT 802,10,0.0,0.2,0.0,0.2
Saab-scania Ab (saab),340B,14,0.0,0.21428571428571427,0.0,0.21428571428571427
BEECH,23,10,0.1,0.5,0.0,0.6
DIAMOND AIRCRAFT IND INC,DA 20-C1,16,0.125,0.25,0.0,0.375
Aerospatiale,ATR-42-300,15,0.06666666666666667,0.2,0.0,0.26666666666666666
Aerostar,RX-8,10,0.0,1.2,0.0,1.2
Snow,S2C,11,0.09090909090909091,0.0,0.0,0.09090909090909091
Saab-scania Ab (saab),340A,10,0.1,0.2,0.0,0.30000000000000004
Air Tractor,AT 602,13,0.0,0.07692307692307693,0.0,0.07692307692307693
TAYLORCRAFT,BC12-D,18,0.1111111111111111,0.5,0.0,0.6111111111111112
