Broad_phase_of_flight,Destruction_Rate,Avg_Serious_Fatal
Approach,0.28561612459917546,3386.0
Climb,0.4048706240487062,1505.0
Cruise,0.3333796940194715,5774.0
Descent,0.3007103393843725,940.0
Go-around,0.28130841121495326,777.0
Landing,0.04366773390252579,1022.0
Maneuvering,0.414093578329229,4533.0
Other,0.2786885245901639,33.0
Standing,0.11272141706924316,228.0
Takeoff,0.21244941680552248,4485.0
Taxi,0.02339622641509434,76.0
Unknown,0.7456647398843931,528.0
